GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
servicio-usuario,com.example.serviciousuario.service,UsuarioServicelmpl,11,88,4,4,1,21,6,7,2,7
servicio-usuario,com.example.serviciousuario.service,RolesServicelmpl,0,12,0,0,0,3,0,3,0,3
servicio-usuario,com.example.serviciousuario.service,AuthServicelmpl,40,20,0,0,9,4,1,3,1,3
servicio-usuario,com.example.serviciousuario.model,Usuario,0,52,0,0,0,22,0,15,0,15
servicio-usuario,com.example.serviciousuario.model,Auth,0,31,0,0,0,13,0,9,0,9
servicio-usuario,com.example.serviciousuario.model,Roles,0,17,0,0,0,7,0,5,0,5
servicio-usuario,com.example.serviciousuario.controller,UsuarioController,32,434,1,9,6,72,3,15,2,11
servicio-usuario,com.example.serviciousuario.exception,GlobalExceptionHandler,0,45,0,0,0,10,0,5,0,5
servicio-usuario,com.example.serviciousuario.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
servicio-usuario,com.example.serviciousuario.config,JwtAuthenticationFilter,0,60,1,7,0,18,1,6,0,3
servicio-usuario,com.example.serviciousuario.config,CorsConfig,0,53,0,0,0,8,0,2,0,2
servicio-usuario,com.example.serviciousuario.security,SecurityConfig,8,40,0,0,3,11,1,5,1,5
servicio-usuario,com.example.serviciousuario.security,CustomAuthenticationEntryPoint,8,3,0,0,3,1,1,1,1,1
servicio-usuario,com.example.serviciousuario,ServicioUsuarioApplication,0,8,0,0,0,3,0,2,0,2
servicio-usuario,com.example.serviciousuario.DTO,UserResponse,0,17,0,0,0,7,0,5,0,5
servicio-usuario,com.example.serviciousuario.DTO,CreacionUsuarioDTO,0,66,0,0,0,28,0,19,0,19
servicio-usuario,com.example.serviciousuario.DTO,LoginDTO,0,17,0,0,0,7,0,5,0,5
